Date,Days,Treatment,Num.Larv,Conicle
7/18/18,1,Ambient,2600,6
7/18/18,1,Ambient,2600,16
7/18/18,1,Ambient,2600,18
7/18/18,1,Ambient,2600,2
7/18/18,1,Ambient,2600,11
7/18/18,1,Ambient,2600,17
7/18/18,1,Warm,2600,9
7/18/18,1,Warm,2600,12
7/18/18,1,Warm,2600,24
7/18/18,1,Warm,2600,4
7/18/18,1,Warm,2600,8
7/18/18,1,Warm,2600,23
7/18/18,1,Cool,2600,10
7/18/18,1,Cool,2600,20
7/18/18,1,Cool,2600,21
7/18/18,1,Cool,2600,5
7/18/18,1,Cool,2600,15
7/18/18,1,Cool,2600,22
7/18/18,1,Light,2600,1
7/18/18,1,Light,2600,13
7/18/18,1,Light,2600,19
7/18/18,1,Light,2600,3
7/18/18,1,Light,2600,7
7/18/18,1,Light,2600,14
7/23/18,5,Ambient,1267,6
7/23/18,5,Ambient,1567,16
7/23/18,5,Ambient,1300,18
7/23/18,5,Ambient,1733,2
7/23/18,5,Ambient,1867,11
7/23/18,5,Ambient,1400,17
7/23/18,5,Warm,1233,9
7/23/18,5,Warm,333,12
7/23/18,5,Warm,700,24
7/23/18,5,Warm,567,4
7/23/18,5,Warm,500,8
7/23/18,5,Warm,433,23
7/23/18,5,Cool,2567,10
7/23/18,5,Cool,1567,20
7/23/18,5,Cool,2433,21
7/23/18,5,Cool,2267,5
7/23/18,5,Cool,1567,15
7/23/18,5,Cool,3000,22
7/23/18,5,Light,1867,1
7/23/18,5,Light,2567,13
7/23/18,5,Light,2050,19
7/23/18,5,Light,1900,3
7/23/18,5,Light,1633,7
7/23/18,5,Light,2066,14
7/30/18,12,Ambient,345,6
7/30/18,12,Ambient,282,16
7/30/18,12,Ambient,385,18
7/30/18,12,Ambient,296,2
7/30/18,12,Ambient,274,11
7/30/18,12,Ambient,402,17
7/30/18,12,Warm,187,9
7/30/18,12,Warm,35,12
7/30/18,12,Warm,128,24
7/30/18,12,Warm,9,4
7/30/18,12,Warm,15,8
7/30/18,12,Warm,2,23
7/30/18,12,Cool,810,10
7/30/18,12,Cool,962,20
7/30/18,12,Cool,911,21
7/30/18,12,Cool,494,5
7/30/18,12,Cool,586,15
7/30/18,12,Cool,551,22
7/30/18,12,Light,715,1
7/30/18,12,Light,1078,13
7/30/18,12,Light,606,19
7/30/18,12,Light,454,3
7/30/18,12,Light,259,7
7/30/18,12,Light,437,14
8/2/18,15,Ambient,162,6
8/2/18,15,Ambient,232,16
8/2/18,15,Ambient,202,18
8/2/18,15,Ambient,128,2
8/2/18,15,Ambient,95,11
8/2/18,15,Ambient,129,17
8/2/18,15,Warm,112,9
8/2/18,15,Warm,17,12
8/2/18,15,Warm,60,24
8/2/18,15,Warm,15,4
8/2/18,15,Warm,14,8
8/2/18,15,Warm,6,23
8/2/18,15,Cool,460,10
8/2/18,15,Cool,652,20
8/2/18,15,Cool,658,21
8/2/18,15,Cool,286,5
8/2/18,15,Cool,311,15
8/2/18,15,Cool,383,22
8/2/18,15,Light,236,1
8/2/18,15,Light,65,13
8/2/18,15,Light,218,19
8/2/18,15,Light,200,3
8/2/18,15,Light,162,7
8/2/18,15,Light,117,14
8/4/18,17,Ambient,214,6
8/4/18,17,Ambient,128,16
8/4/18,17,Ambient,181,18
8/4/18,17,Ambient,72,2
8/4/18,17,Ambient,63,11
8/4/18,17,Ambient,96,17
8/4/18,17,Warm,0,9
8/4/18,17,Warm,303,12
8/4/18,17,Warm,13,24
8/4/18,17,Warm,0,4
8/4/18,17,Warm,140,8
8/4/18,17,Warm,0,23
8/4/18,17,Cool,78,10
8/4/18,17,Cool,60,20
8/4/18,17,Cool,0,21
8/4/18,17,Cool,42,5
8/4/18,17,Cool,71,15
8/4/18,17,Cool,43,22
8/4/18,17,Light,343,1
8/4/18,17,Light,5,13
8/4/18,17,Light,153,19
8/4/18,17,Light,63,3
8/4/18,17,Light,70,7
8/4/18,17,Light,9,14
